"","pnap","HU_p","HU_pmin","HU_pmax","HU_pi","HU_pmini","HU_pmaxi"
"1",1,1.80108160858679e-06,1.06707927640665e-06,3.03028827174595e-06,18,11,30
"2",2,2.3688723894021e-06,1.35353355460283e-06,4.13264550054649e-06,24,14,41
"3",3,3.1156591519885e-06,1.71688563721821e-06,5.6360178641839e-06,31,17,56
"4",4,4.09787036009138e-06,2.17777851259189e-06,7.68628651095275e-06,41,22,76
"5",5,5.38972354450197e-06,2.7623967182761e-06,1.04824011832704e-05,53,28,103
"6",6,7.0888333045048e-06,3.5039539535454e-06,1.42956854926564e-05,70,35,140
"7",7,9.3235872311703e-06,4.44458003708766e-06,1.94961650610273e-05,92,44,191
"8",8,1.22628470896615e-05,5.63771441291065e-06,2.65884733042062e-05,120,56,261
"9",9,1.61287082982054e-05,7.15114218583564e-06,3.62608190090504e-05,158,70,355
"10",10,2.12132818314202e-05,9.07084517174684e-06,4.94517673190024e-05,208,89,484
"11",11,2.79007666168365e-05,1.15058867508992e-05,6.74413142836732e-05,273,113,660
"12",12,3.66964802520168e-05,1.45946080456607e-05,9.19750924768553e-05,359,143,900
"13",13,4.82650416520829e-05,1.8512487443857e-05,0.000125433760091683,473,182,1227
"14",14,6.3480590772715e-05,2.34821099879322e-05,0.00017106401034277,621,230,1674
"15",15,8.34928400953531e-05,2.97858130171653e-05,0.000233293617389466,817,292,2282
"16",16,0.000109813948835909,3.7781726495169e-05,0.000318161089557099,1075,370,3112
"17",17,0.000144432784238307,4.79241193159015e-05,0.000433901621659758,1413,469,4245
"18",18,0.000189965203728363,6.07892075153958e-05,0.000591746204858215,1859,595,5788
"19",19,0.000249851713500287,7.71078906216588e-05,0.000807011436428047,2444,755,7894
"20",20,0.000328617438951052,9.78072759809523e-05,0.00110058578015165,3215,957,10765
"21",21,0.000432214050765854,0.000124063350166748,0.00150095649800624,4228,1214,14682
